央视,#genre#
CCTV-1,http://119.91.7.169:2026/ysws.php?id=CCTV1
CCTV-2,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV-3,http://119.91.7.169:2026/ysws.php?id=CCTV3
CCTV-4,http://119.91.7.169:2026/ysws.php?id=CCTV4
CCTV-5,http://119.91.7.169:2026/ysws.php?id=CCTV5
CCTV-5+,http://119.91.7.169:2026/ysws.php?id=CCTV5+
CCTV-6,http://119.91.7.169:2026/ysws.php?id=CCTV6
CCTV-7,http://119.91.7.169:2026/ysws.php?id=CCTV7
CCTV-8,http://119.91.7.169:2026/ysws.php?id=CCTV8
CCTV-9,http://119.91.7.169:2026/ysws.php?id=CCTV9
CCTV-10,http://119.91.7.169:2026/ysws.php?id=CCTV10
CCTV-11,http://119.91.7.169:2026/ysws.php?id=CCTV11
CCTV-12,http://119.91.7.169:2026/ysws.php?id=CCTV12
CCTV-13,http://119.91.7.169:2026/ysws.php?id=CCTV13
CCTV-14,http://119.91.7.169:2026/ysws.php?id=CCTV14
CCTV-15,http://119.91.7.169:2026/ysws.php?id=CCTV15
CCTV-16,http://119.91.7.169:2026/ysws.php?id=CCTV16
CCTV-17,http://119.91.7.169:2026/ysws.php?id=CCTV17
CCTV-1,http://119.91.7.169:2026/ysws.php?id=CCTV1
CCTV-2,http://119.91.7.169:2026/ysws.php?id=CCTV2
CCTV-3,http://119.91.7.169:2026/ysws.php?id=CCTV3
CCTV-4K,http://genglei.8866.org:9901/tsfile/live/1055_1.m3u8?key=txiptv
CCTV-14,http://120.233.73.4:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://120.233.73.4:19901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://120.233.73.4:19901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://111.170.156.74:3344/央视/cctvapp.php?id=CCTV54d61bd11c9a343b782b3381a3c3f6540H
CCTV-2,http://111.170.156.74:3344/央视/cctv.php?id=cctv2
CCTV-7,http://111.170.156.74:3344/央视/cctv.php?id=cctv7
CCTV-1,http://120.233.73.4:19901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://111.170.156.74:3344/央视/cctv.php?id=cctv4
CCTV-1,http://111.170.156.74:3344/央视/cctv.php?id=cctv1
CCTV-12,http://111.170.156.74:3344/央视/cctv.php?id=cctv12
CCTV-17,http://111.170.156.74:3344/央视/cctv.php?id=cctv17
CCTV-9,http://111.170.156.74:3344/央视/cctv.php?id=cctv9
CCTV-10,http://111.170.156.74:3344/央视/cctv.php?id=cctv10

卫视,#genre#
浙江卫视,http://119.91.7.169:2026/ysws.php?id=浙江卫视
湖南卫视,http://119.91.7.169:2026/ysws.php?id=湖南卫视
北京卫视,http://119.91.7.169:2026/ysws.php?id=北京卫视
河南卫视,http://119.91.7.169:2026/ysws.php?id=河南卫视
东南卫视,http://119.91.7.169:2026/ysws.php?id=东南卫视
云南卫视,http://119.91.7.169:2026/ysws.php?id=云南卫视
厦门卫视,http://119.91.7.169:2026/ysws.php?id=厦门卫视
吉林卫视,http://119.91.7.169:2026/ysws.php?id=吉林卫视
四川卫视,http://119.91.7.169:2026/ysws.php?id=四川卫视
天津卫视,http://119.91.7.169:2026/ysws.php?id=天津卫视
安徽卫视,http://119.91.7.169:2026/ysws.php?id=安徽卫视
山东卫视,http://119.91.7.169:2026/ysws.php?id=山东卫视
山西卫视,http://119.91.7.169:2026/ysws.php?id=山西卫视
广东卫视,http://119.91.7.169:2026/ysws.php?id=广东卫视
广西卫视,http://119.91.7.169:2026/ysws.php?id=广西卫视
江苏卫视,http://119.91.7.169:2026/ysws.php?id=江苏卫视
